product,symptom,cause
"KZ-30A, KZ-65A, KZ-120SC, KZ-120CD, KZ, 120SC-H, KZ-155, KZ-150S, KZ-650A, KZ-1200, KZ-1200E",移動用PAシリーズのスピーカー入出力端子一覧表及び組合せ表,"移動用PAシリーズのスピーカー入出力端子に関しての早見表となります。

また接続する端子に関しても詳細に記載しております。

詳しくは添付資料をダウンロードしていただきご覧ください。"
"BCJ-RU, WT-D1814, WT-D1812, WT-1824, WT-1822, WT-750B, YW-560, YW-550, YW-540",受信不良の要因の一つ（中継に使用するBNCレセプタクル）,"ワイヤレスシステムで使用するワイヤレスアンテナ用コネクター（レセプタクル）についての注意点です。

可能な限り「BCJ-RU」は使用せず、背面もBCNタイプの「BCJ-JRUK」を使用してください。

BCJ-RU（同軸ケーブルの外側のシールドをよじって接続するタイプ）は300MHz程度の伝送までにしか適しておらず、ワイヤレスマイクの帯域の伝送には不向きです。背面もBNCタイプのBCJ-JRUKをお使いください。
ンテナとチューナー間に特注で用意する接続盤の仕様図には、かなりの頻度で「BCJ-RU」と記載されており、その仕様通りに現場に納品されています。

現場の条件によって、不具合として表面化しないケースは多数あると想像しますが、本来の性能を引き出せておらず、受信不具合を引き起こす可能性があります。

受信不具合現場において、レセプタクルをBCJ-RU から BCJ-JRUK に変更した事により、不具合が解消した事例もあります。

納入前に変更可能であれば変更する事や、現場での不具合時に確認項目の一つとしてお試しください。
BCJ-RU と BCJ-JRUK のフランジはどちらも XLRーF77です。

BNCタイプのレセプタクルには、BCJ-JRUDK もありますが、こちらのフランジはノイトリックタイプになるので、変更前のフランジに合わせて選定してください。
レセプタクルを変更する事により、従来よりも裏側の奥行きスペースが必要になります。

状況に合わせてＬ型のコネクタをご用意ください。"
C-CC30L,カメラコントローラのビデオロスト点灯,"故障個所、故障発生の推定原因   
 電源が入らないことを確認｡また再度ON/OFFを数回繰り返すと電源が入るようになりました  
 が画像が出ません｡  
 原因はCCD基板のｱﾙﾐ電解ｺﾝﾃﾞﾝｻC113(6.3V 330μF)の容量抜けで､当該ｺﾝﾃﾞﾝｻを交換し正常  
 動作になりました｡工事との関連性や真の原因は特定できませんが限度を超える何らかのｽﾄﾚｽが考えられます｡ "
"C-CC301, C-CC304, C-CC351, C-CC354",モード設定ＳＷの設定について,"設定用DIP　SWの内、No７およびN0８の設定方法について説明します。

NO.7

垂直外部同期タイミングには２種類あり、その切替を行います。

Ⅰ側　：　カメラがワンケーブルカメラで、次の機器と組み合わせるとき。

　　　　　　CC--3340B、マルチスイッチャー、同軸多重システム（CC-5220P等）

Ⅱ側　：　システムコントローラーがC-SC50A、C-SC50、CーSC80等の組み合わせ

　　　　　　出荷時の設定はこちらになっています。

No.8

必ず「切」の位置にしておく

備考

垂直外部同期タイミングには２種類あり、その切替スイッチがNo．７です。"
C-CC10ZL,補修部品供給不可に伴う修理対応について,"DSP PCB ASSY（ N2020 ）補修部品が在庫切れとなり入手不可となりましたので、該当パーツ交換のが要となった場合は
下記の方法で対応をお願いします。
        
【対応方法】 
DSP PCB ASSY が不良で、部品の交換修理が必要な場合、修理品と同等性能の製品（C-CC110）を補修用部品として代替
供給します。
代替部品名　　　　　部品番号：Ｚ３０６５　　CCC110ホシュヨウ  
（部品料金は、DSP PCB ASSYよりも￥５００UPとなります。）
 
【処　　置】
 ①持込修理の場合
 　・対象品は、必ず「DSP基板の故障のため、交換対応する」旨の事前説明を行い、交換に際して下記の注意事項および概算の修理料金を通知し、
　　お客様の了承を得た上で行ってください。
 　・完了品には「修理に関するお知らせ」を必ず同梱してください。（添付ファイルをダウンロードしてご利用ください）
 　　
 ②出張修理の場合
 　・出張修理受付時に、事前情報として「DSP基板の故障のため、交換対応する」旨、説明を行ってください。
 　・再訪問（再修理）を避けるため、事前に交換用補修部品を持参してください。
 　・訪問先で諸症状から当該品と推測できる場合、再度「交換対応」の事前説明を行い、注意事項および概算の修理料金を伝えてください。
 　　※修理料金については、訪問前に説明し了承を得てください。
     
【修理料金】 
　①技工料  ：Ｂランク  
　②部品料  ：￥14,500  
　 　部品番号：Ｚ３０６５　　CCC110ホシュヨウ  
　③出張料  ：規定通り  
　④特記ｺｰﾄﾞ  ：Ｃ１０ＺＬ  
     
【注意事項】
　①持込修理時、交換カメラは必ず点検を行なってください。    
　②不具合品は、特に指示が無い限り依頼元に返却してください。    
　③C-CC10ZLとの違いについて
　　③‐1．外観が「直径が3mm」、「全長が38mm」小さくなります。    
　　③‐2．各調整（モード）スイッチについて　※ 取扱説明書にしたがって調整してください。    
　　　・ﾎﾜｲﾄﾊﾞﾗﾝｽ ：ATW固定となります。（自動追尾となります）    
　　　・輪郭強調（APT）：機能を有しておりません。    
　　　・AGC：自動絞りとなります。（解除スイッチはありません）    
　④本機の修理満了年月について    
　　・外観（ケース、意匠部品）の修理満了・・・・・・・・・2005年 1月    
　　・上記以外で性能を維持するための修理満了・・・2007年 1月       

"
C-CC10ZL,ＯＮ後しばらく映らず、光の強い部分がハレーションを起こす,"１．故障内容         
 カメラ電源投入後しばらく映らず、映像がでた直後は光の強い部分がハレーションを起こしその後は

正常動作する。（６年使用）        
         
２．故障個所、故障発生の推定原因         
 電源投入直後映像は映りますが蛍光灯の光がツララ状に映り画面の約3分の2は映像が判断で
　　　きない状態でした｡約10分後に画像は正常になりましたが光(蛍光灯)が流れ状に映ることを確
　　　認しま した｡原因はDEN1基板のコンデンサC527(16V　10μF)の容量減少により動作不良に至
　　　ったものです｡        
         
３．ロットへの波及性、再発防止策         
 当部品はEEVHAｼﾘｰｽﾞ(1000h)から部品寿命の長いEEVHBｼﾘｰｽﾞ(2000h)へ変更されシリア        
 ルNo.97B4017766から使用開始し、更に長寿命化を計っています。        "
C-CC10ZL,映像映らず。,"原因はDSP基板のM23に供給している電源系のｱﾙﾐ電解ｺﾝﾃﾞﾝｻC230(6.3V 330μF)が容量抜け       
となっており、映像処理ＩＣの制御が出来なかったことで不具合に至ったものです｡       "
C-CC10ZL,画面全体が白くなる,"1．故障内容        
   日光に当っている部分が真っ白になり、そこから画面全体が白くなって
   いく。映像が見れないという症状もでる    
        
         
２．故障個所、故障発生の推定原因        
　　DEN1基板のコンデンサC527(16V10μF)の容量減少により動作不良に至っ
　　たもの｡   
        
         
３．ロットへの波及性、再発防止策        
　　当部品はEEVHAｼﾘｰｽﾞ(1000h)から部品寿命の長いEEVHBｼﾘｰｽﾞ(2000h)へ
　　変更されシリアルNo.97B4017766から使用開始し、更に長寿命化を計っ
    います。"
C-CC10ZD,C-CC10ZDのジャンパー線,"Ｃ－ＣＣ１０ＺＤとＣ－Ｐ１０ＡＬを接続したが、Ｃ－Ｐ１０の「ＶＩＤＥＯ　ＬＯＳＴ」灯が点灯したままになっている。カメラ側のジャンパー線はＤＣ１２Ｖで動かすことは無いので外してしまったが、これが原因か？』との問い合わせがありました。

取説にもサビマにもカメラのジャンパー線には触れていない。

ＤＣのマイナス端子と、その右側の端子台固定ネジの間をジャンパーしています。ＤＣマイナスとシャーシ間を短絡して、動作の安定を計っています。使用時はジャンパーを外すとこの様なトラブルが出る可能性があります。"
C-CC10ZD,マイクの有効範囲（お客様からの問合せ事例）,"お客さんからの電話 で「ＴＯＡさんのワンケーブルカメラに付けるマイクあるやろ、あれ付けたカメラを天井に取り付けて、あのマイクで音拾うてＶＴＲに録画しようと思うてんねんけどな、どの位の範囲の音やったらきれいにとれる？・・マイクのスペックやら何たら数字はいらんわ、“どの位の範囲”だけでええから教えてくれるか。序でやけど、ドーム型に付いてるマイクも大体同じ程度やろ？」と言う御質問。
フッっと虚を衝かれた様な御質問。慌ててカタログめくって見たが、Ａ－２のカタログにはスペックなんか何処にも無い。ＣＣＴＶの総合カタログに辛うじて、Ｃ－Ａ１０ＭＣのスペックあり。

◎仕様

   指向性   無指向性
   感度     １６６ｍＶ(入力音圧 ７４ｄＢ ＳＰＬ １ＫＨｚ)

これでは、失礼になるかもしれないが、お客さんには解らんだろう。Ｃ－ＣＣ１０ＺＤの方は、単に無指向性マイクのみの表示。

◎回答

 「通常の話し声の内容を聞き取れる目安は、マイクから、約３ｍ位とお考え下さい。
５ｍ位になりますと、無指向性のマイクのためもあり、声は分かっても内容を聞き取るのは難しい状態になります。」"
